paper_id,ground_truth_reproducibility_score,repro_agent_score_from_2025_hu,source_note
17,3,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
18,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
19,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
20,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
21,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
22,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
23,3,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
24,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
25,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
26,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
27,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
28,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
29,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
30,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
31,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
32,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
33,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
34,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
35,3,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
36,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
37,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
38,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
39,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
40,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
41,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
42,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
43,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
44,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
45,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
46,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
47,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
48,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
49,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
50,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
51,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
52,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
53,3,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
54,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
55,3,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
56,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
57,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
58,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
59,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
60,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
61,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
62,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
63,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
64,3,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
65,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
66,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
67,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
68,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
69,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
70,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
71,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
72,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
73,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
74,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
75,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
76,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
77,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
78,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
79,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
80,3,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
81,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
82,3,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
83,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
84,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
85,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
86,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
87,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
88,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
89,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
90,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
91,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
92,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
93,4,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
94,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
95,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
96,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
97,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
98,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
99,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
100,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
101,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
102,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
103,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
104,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
105,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
106,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
107,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
108,1,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
109,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
110,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
111,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
112,2,,Ground truth from ground_truth.json. Per-task REPRO-AGENT predictions were not present in the code checkout or paper PDF; paper reports only aggregate accuracy.
